"date","country","capital_city","GDP_2019","population_2019","population_density_2019","GINI_2019","child_mortality_2019","median_age_2018","life_exp_diff","confirmed_inf","recovered","deaths"
2021-05-23,Slovenia,Ljubljana,57321537836.0769,2088385.0,103.09957543443917,,2.1,44.9,11.451000000000008,251690,241735,4353
2021-05-23,Lithuania,Vilnius,15020382065.0197,2794137.0,42.788579041668584,,3.7,44.5,4.088999999999999,270849,247662,4185
2021-05-23,Ethiopia,Addis Abeba,67542461142.9249,112078727,101.4930064294123,,50.7,19.8,23.781000000000006,269194,228757,4076
2021-05-23,Uruguay,Montevideo,49558123193.7397,3461731.0,19.779511587511998,39.7,7.1,35.5,8.847999999999999,265098,227531,3871
2021-05-23,Costa Rica,San Jos,51334498837.7862,5047561.0,98.77810176125244,48.2,8.6,32.6,16.217,299219,228589,3765
2021-05-23,Dominican Republic,Santo Domingo de Guzm,85937885073.5325,10738957,221.37158582589515,41.9,28.0,27.9,18.247999999999998,283729,235814,3606
2021-05-23,Kazakhstan,Astana,213250078007.964,18513673,6.7942577709273735,,10.5,31.6,10.689,429720,389569,3428
2021-05-23,Algeria,Alger,202404450626.838,43053054,18.07629544942124,,23.3,28.9,27.696000000000005,126860,88346,3418
2021-05-23,Kenya,Nairobi,65060160105.0758,52573967,90.5874506992989,,43.2,20.0,14.976999999999997,168432,114537,3059
2021-05-23,Afghanistan,Kabul,21808863986.9923,38041757,58.33820024843197,,60.3,19.5,28.428999999999995,65728,56035,2802
2021-05-23,Belarus,Minsk,63335604099.6643,9417849.0,45.3653612716763,25.3,3.2,40.9,3.7109999999999985,386025,376453,2771
2021-05-23,Sudan,Khartum,86414581804.3628,42813237,22.69973139886791,,58.4,18.3,14.172000000000004,34889,27949,2568
2021-05-23,Venezuela,Caracas,,28515829,31.265642234526617,,24.2,30.0,10.168,223345,206921,2513
2021-05-23,Denmark,Copenhagen,382978543873.05,5814422.0,134.92416577713834,,3.8,42.0,7.8359999999999985,273494,257387,2508
2021-05-23,Albania,Tirana,14862643983.3091,2854191.0,99.28311534715459,,9.7,34.3,12.175000000000011,132209,128732,2444
2021-05-23,Latvia,Riga,45499749575.0179,1913822.0,29.63077304184923,,3.6,44.4,4.211000000000013,130945,121123,2326
2021-05-23,Oman,Masqat,75032818560.7415,4974992.0,16.074287560581585,,11.4,26.2,30.222,210364,193950,2265
2021-05-23,Malaysia,Kuala Lumpur,398946603155.68,31949789,96.88859405988634,,8.6,29.2,13.070999999999998,512091,452821,2248
